LGA,Average Nighttime mean,system:index,AREA,state,Latitude,Longitude,PERIMETER,Population
Ede South,0.111674583,429,230.891,Osun,7.633136688,4.46860016,63.73,132007.7409
Egbedore,0.690908578,402,301.4,Osun,7.763581557,4.432031788,100.333,258518.0427
Ejigbo,0.088224568,395,393.311,Osun,7.824314353,4.267609733,133.163,154442.7162
Ife Central,0.211202022,454,70.335,Osun,7.456244299,4.605470021,38.63,177299.6898
Ife East,0.018085659,462,102.209,Osun,7.362839855,4.611643637,64.881,447689.4668
Ife North,0.121517793,446,978.382,Osun,7.285774967,4.469956445,198.053,125852.2472
Ife South,0.006846578,472,702.191,Osun,7.199722401,4.596020432,150.775,137428.9051
Ifedayo,0.063429,385,115.146,Osun,7.96253821,5.001676714,52.451,24143.4722
Ifelodun,0.509253512,393,131.806,Osun,7.904281935,4.64751187,56.555,117189.7347
Ila,0.031379888,378,333.442,Osun,7.977367932,4.900588148,94.173,105478.0964
Ilesha East,0.462934227,438,83.198,Osun,7.586148126,4.766445139,39.123,212828.0633
Ilesha West,0.99723155,436,65.02,Osun,7.629649866,4.715074851,41.095,293358.9551
Irepodun,0.713534257,398,65.727,Osun,7.856745689,4.519425722,44.29,104900.4311
Irewole,0.071290301,459,309.774,Osun,7.384236534,4.218556432,77.992,163152.9011
Isokan,0.026322682,482,196.454,Osun,7.270772152,4.18760634,57.96,105830.7954
Iwo,0.197329619,423,301.097,Osun,7.635257125,4.130987682,76.569,314403.1672
Obokun,0.143101768,404,522.044,Osun,7.762044571,4.771781535,102.804,116153.1403
Odo Otin,0.077269192,382,278.912,Osun,7.99185323,4.682342996,83.094,157932.853
Ola Oluwa,0.102145753,414,352.828,Osun,7.729953213,4.208475567,85.73,57148.2376
Olorunda,1.554438055,394,92.957,Osun,7.84198011,4.578304143,54.689,283263.6037
Oriade,0.084149852,425,598.314,Osun,7.522684435,4.884528237,126.578,161227.8086
Orolu,0.408804627,396,87.127,Osun,7.882402547,4.481376194,42.778,127308.5249
Osogbo,1.170654683,415,55.686,Osun,7.745337152,4.584593584,35.722,268329.5385
Afijio,0.04616253,405,726.712,Oyo,7.746654071,3.897557159,139.576,124193.2962
Akinyele,0.367207778,431,480.453,Oyo,7.561210468,3.916166361,107.414,466424.4162
Atiba,0.019207565,347,1672.059,Oyo,8.239317919,3.914362775,221.32,85458.0059
Atisbo,0.015737032,348,2767.258,Oyo,8.351543458,3.23874736,335.551,98580.9121
Egbeda,0.564478988,461,189.234,Oyo,7.39084547,4.059006136,67.203,668543.0925
Ibadan North,3.772660545,463,26.46,Oyo,7.411897329,3.910474166,21.508,138047.5151
Ibadan North-East,1.657817825,469,17.724,Oyo,7.37432652,3.931288725,22.323,367239.7494
Ibadan North-West,3.441937134,465,28.696,Oyo,7.400765171,3.877505592,26.755,103405.5133
Ibadan South-East,1.991615472,478,23.51,Oyo,7.335169824,3.904496922,18.971,230667.9071
Ibadan South-West,4.958433186,474,40.226,Oyo,7.354409939,3.863996675,26.686,261598.0926
Ibarapa Central,0.015306557,455,456.471,Oyo,7.426326887,3.237206152,88.205,77305.3312
Ibarapa East,0.023565315,416,822.403,Oyo,7.607953274,3.492072629,141.334,97181.8493
Ibarapa North,0.001000547,413,1247.332,Oyo,7.646153703,3.159181341,139.251,78839.6793
Ido,0.309835355,424,1071.133,Oyo,7.506774701,3.711860236,174.546,531508.5826
Irepo,0.01106363,311,1056.594,Oyo,8.999792381,3.934771101,157.105,83762.3396
Iseyin,0.052676091,383,1351.944,Oyo,7.864728388,3.533333082,187.88,279277.0715
Itesiwaju,0.024488669,359,1371.911,Oyo,8.188709393,3.511793442,204.175,58569.7028
Iwajowa,0.014564948,369,2333.834,Oyo,8.004456367,3.021811143,257.165,79102.9911
Kajola,0.029034565,371,586.18,Oyo,8.026391245,3.357533626,102.904,89013.0774
Lagelu,0.322444508,444,267.979,Oyo,7.494845905,4.046896825,74.062,564982.121
Ogbomosho North,0.262089847,368,197.11,Oyo,8.154479087,4.270447039,58.824,281077.3965
Ogbomosho South,0.064059928,376,71.937,Oyo,8.079880583,4.233329183,40.332,157331.0128
Ogo Oluwa,0.037931336,379,473.845,Oyo,7.942995866,4.221617071,121.498,62500.1543
Olorunsogo,0.017465765,326,1037.665,Oyo,8.751820952,4.090865619,155.408,70640.7478
Oluyole,0.233923664,481,765.234,Oyo,7.183874333,3.877353437,117.299,449083.4721
Ona Ara,0.147221981,476,310.448,Oyo,7.250768902,4.040127642,84.841,286940.3863
Orelope,0.023050546,327,920.401,Oyo,8.803832998,3.811437796,147.801,84976.4859
Ori Ire,0.024132934,345,1910.959,Oyo,8.334229821,4.144232678,211.283,134256.6151
Oyo East,0.133724988,392,131.568,Oyo,7.878777156,4.021316819,59.329,54995.8172
Oyo West,0.075540216,375,526.294,Oyo,7.941570227,3.821797048,105.775,359851.8343
Saki East,0.021500784,328,1658.42,Oyo,8.683201553,3.603791152,179.961,67689.8475
Saki West,0.017459954,335,2172.974,Oyo,8.569798284,3.147185965,228.31,345995.7826
Surulere,0.02799161,365,799.216,Oyo,8.07179199,4.414903225,128.203,118282.3147
Barkin Ladi,0.034254173,272,856.055,Plateau,9.556095409,8.912174316,166.41,164746.9802
Bassa,0.041003515,247,1479.105,Plateau,10.06732158,8.783184712,185.895,105978.6511
Bokkos,0.004728884,296,1532.477,Plateau,9.209305268,8.899430024,158.438,207532.9151
Jos East,0.028189655,267,802.559,Plateau,9.865349095,9.072094977,108.536,39962.1055
Jos North,1.729032384,266,403.323,Plateau,9.908951559,8.871181223,78.34,591220.0381
Jos South,0.343480582,270,453.764,Plateau,9.722177252,8.793054503,104.328,638303.9279
Kanam,-0.017697544,271,3019.104,Plateau,9.527468541,10.05330366,294.186,147705.7514
Kanke,0.003281002,291,1279.089,Plateau,9.397001132,9.578956443,156.741,78068.0958
Langtang North,0.003948628,303,804.249,Plateau,9.087957877,9.777727499,165.052,176966.6896
Langtang South,-0.015933451,338,1361.094,Plateau,8.583890977,9.810522448,148.518,119852.4549
Mangu,0.010741299,274,1764.24,Plateau,9.399778099,9.150007274,205.29,255320.0747
Mikang,-0.001150499,315,747.416,Plateau,9.013579258,9.570589155,153.224,79835.586
Pankshin,0.005832642,288,1292.964,Plateau,9.263288345,9.394954747,203.012,145838.7101
Qua'an Pan,-0.012141378,321,2381.537,Plateau,8.738296416,9.133422377,224.661,243570.3054
Riyom,0.008884737,280,806.432,Plateau,9.530432006,8.686492535,122.641,89838.8039
Shendam,-0.014401934,320,2501.515,Plateau,8.698298111,9.49977663,285.285,288083.6957
Wase,-0.012478577,294,6209.003,Plateau,9.052514664,10.22896536,323.167,215512.0893
Abua-Odual,0.262500319,714,673.838,Rivers,4.828550351,6.549153939,140.8,79308.2319
Ahoada East,1.451075095,693,354.096,Rivers,5.058531371,6.618620875,114.092,229578.8606
Ahoada West,12.58286894,691,440.862,Rivers,5.051759562,6.500536066,115.787,71769.4543
Akuku Toru,2.347948553,735,533.696,Rivers,4.549269526,6.73968338,125.944,17421.8093
Andoni,0.281158217,744,235.36,Rivers,4.516090847,7.388384171,79.493,77340.6728
Asari-Toru,0.51707516,728,99.479,Rivers,4.741407063,6.829306302,55.917,29774.0471
Bonny,8.614411214,743,647.422,Rivers,4.510660586,7.192507086,139.81,107203.6285
Degema,8.526271582,723,1023.248,Rivers,4.573433736,6.901457633,223.875,65368.1932
Eleme,2.536140166,724,125.84,Rivers,4.768227872,7.165329347,46.559,241243.51
Emuoha,0.660556368,687,762.646,Rivers,4.989697187,6.751652139,161.086,202552.0636
Etche,0.959395849,694,568.879,Rivers,5.062704893,7.049993574,121.1,458612.1284
Gokana,0.461907829,737,93.218,Rivers,4.660026483,7.282618718,43.954,155276.2184
Ikwerre,0.731387825,690,673.248,Rivers,5.026760285,6.884054618,117.63,366636.2599
Khana,0.151236251,726,520.661,Rivers,4.695075219,7.428098413,103.493,305501.9701
Obio-Akpor,5.919052041,718,280.085,Rivers,4.849349351,7.001763658,83.299,1461953.462
Ogba-Egbema-Ndoni,13.22123108,652,700.062,Rivers,5.394652183,6.639998913,184.44,386531.4035
Ogu Bolo,1.324913458,736,67.644,Rivers,4.643497216,7.183441669,48.186,15215.7634
Okrika,8.13349597,732,226.901,Rivers,4.657420827,7.102013498,89.791,105224.8946
Omumma,0.22457231,695,302.128,Rivers,5.093642615,7.184540416,72.275,117634.6099
Opobo-Nkoro,0.2717315,745,167.605,Rivers,4.523239555,7.493693299,62.395,3459.9782
Oyigbo,1.956087369,720,342.323,Rivers,4.835780771,7.288896017,107.718,255102.0291
Port Harcourt,4.537368395,727,194.759,Rivers,4.747750071,7.034301779,64.004,482981.1439
Tai,0.474322644,729,101.697,Rivers,4.737835491,7.260695485,45.2,54218.2899
Binji,0.00896487,16,527.869,Sokoto,13.17967156,4.891626077,100.792,90210.7359
Bodinga,0.046022056,44,554.94,Sokoto,12.82542038,5.230392976,110.327,341899.6374
Dange-Shuni,0.011952343,40,1197.884,Sokoto,12.81902576,5.469980744,153.605,428866.768
Gada,0.005794477,0,1193.977,Sokoto,13.6734744,5.376003265,170.095,331188.3633
Goronyo,-0.001497585,7,1651.61,Sokoto,13.37200055,5.807781897,255.14,191742.7709
Gudu,-0.000227,755,4005.965,Sokoto,13.41484152,4.520069861,276.186,131624.8557
Gwadabawa,0.002764663,6,1009.712,Sokoto,13.42676977,5.375989002,172.871,237214.6359
Illela,-0.005184608,1,1298.423,Sokoto,13.6866942,5.724052401,174.726,240249.9169
Isa,-0.005727746,753,2082.867,Sokoto,13.21256711,6.333493754,254.064,170709.1372
Kebbe,0.001207114,117,2758.11,Sokoto,11.88230241,4.805727857,233.705,79882.2843
Kware,0.058930011,12,702.678,Sokoto,13.14966076,5.311966682,147.599,226929.4347
Rabah,-0.006237503,17,2654.951,Sokoto,12.97772924,5.773742497,222.453,149126.9062
Sabon Birni,-0.00263533,5,2241.75,Sokoto,13.48060895,6.266445641,201.102,355039.4836
Shagari,0.003892824,60,1296.653,Sokoto,12.51656482,5.180747397,201.954,179389.1285
Silame,0.00130153,26,610.931,Sokoto,12.96422486,4.893639015,98.297,93701.9822
Sokoto North,2.750379049,29,39.581,Sokoto,13.06395461,5.267326071,25.821,253953.2219
Sokoto South,1.609625765,33,30.346,Sokoto,13.01870547,5.279452057,30.722,361027.999
Tambuwal,0.010581172,61,2207.511,Sokoto,12.35078818,4.880544324,289.473,249066.0156
Tangaza,0.006877905,2,2460.715,Sokoto,13.47705741,5.00071397,209.702,150850.6395
Tureta,0.002064594,66,1293.001,Sokoto,12.48309746,5.459307587,178.822,87419.7734
Wamako,0.55213616,21,571.605,Sokoto,13.04405847,5.120979383,105.038,494374.3569
Wurno,0.003834394,8,642.076,Sokoto,13.24284254,5.542393118,140.928,166591.9113
Yabo,0.012394307,46,828.959,Sokoto,12.76232393,5.002005583,135.11,112112.7358
Ardo-Kola,0.026310774,318,2417.985,Taraba,8.811156806,11.23745484,212.958,129156.5381
Bali,-0.00719547,344,8546.623,Taraba,8.147595904,11.04836268,465.213,371218.8118
Donga,-0.013196608,374,3434.272,Taraba,7.681815989,10.28111244,377.591,208365.3826
Gashaka,0.004144086,381,8267.946,Taraba,7.556608169,11.4303718,412.38,97738.0819
Gassol,-0.022139031,336,5979.249,Taraba,8.443519101,10.57911189,359.334,551775.3335
Ibi,-0.031742745,339,2848.122,Taraba,8.300290384,9.774787371,351.999,112121.6509
Jalingo,0.546641386,325,191.234,Taraba,8.913730024,11.40137881,81.649,319816.9426
Karim Lamido,-0.015017323,286,6901.537,Taraba,9.236293784,10.97055672,434.825,298359.3257
Kurmi,-0.003895772,430,4969.12,Taraba,7.229056229,10.66791205,358.321,91719.0622
Lau,-0.009198856,297,1817.237,Taraba,9.174284834,11.52091739,194.063,163365.4308
Sardauna,0.005587995,473,4933.586,Taraba,6.894977786,11.25038229,369.83,276098.3302
Takum,-0.014141797,440,1554.192,Taraba,7.428880038,10.06740137,172.466,317266.405
Ussa,0.005963811,485,2458.809,Taraba,7.004542581,9.922402668,269.256,137197.7931
Wukari,-0.013020978,367,3801.356,Taraba,7.976299496,9.814869386,349.01,466232.8796
Yorro,0.005508152,317,1337.907,Taraba,8.886942855,11.63680906,212.561,212386.2648
Zing,0.010589746,322,891.351,Taraba,8.901708746,11.8274167,124.944,475688.3857
Bade,-0.004622853,772,817.26,Yobe,12.71046002,10.89590789,216.207,164042.0041
Bursari,0.003108809,45,3889.682,Yobe,12.71147029,11.42243002,251.058,137131.8983
Damaturu,0.022161001,135,2450.811,Yobe,11.80366475,12.01977786,216.201,262969.6283
Fika,0.002943455,175,2117.579,Yobe,11.3771508,11.27834675,233.79,224547.9183
Fune,0.004753063,92,4995.274,Yobe,11.8165905,11.44856204,323.687,279803.4139
Geidam,0.003603096,42,4303.837,Yobe,12.64598151,12.08018802,280.586,211704.5372
Gujba,-0.007651559,176,3351.005,Yobe,11.36346891,12.00868012,268.564,232536.0499
Gulani,-0.01247922,208,2328.545,Yobe,10.94691609,11.74743179,234.289,208964.1637
Jakusko,0.002044899,56,3908.839,Yobe,12.40609219,10.91499655,290.617,169834.2828
Karasuwa,0.005141528,27,1161.392,Yobe,12.93724777,10.74710239,201.644,102878.621
Machina,-0.000366,18,1243.824,Yobe,13.02614718,9.998433484,180.189,106158.0236
Nangere,0.048984064,129,998.029,Yobe,11.7931178,10.99906405,159.144,202819.9121
Nguru,0.009542132,25,946.864,Yobe,12.94592461,10.3635697,131.456,160624.3462
Potiskum,0.071719732,159,553.724,Yobe,11.69981758,11.19555791,99.835,435233.3322
Tarmuwa,-0.000991,86,4504.328,Yobe,12.21004838,11.82883726,319.692,129830.2395
Yunusari,0.004352377,10,3880.036,Yobe,13.10450137,11.74730105,347.123,208196.5167
Yusufari,0.002478698,9,4292.148,Yobe,13.16310127,10.85230728,376.191,172082.914
Anka,-0.00033,102,2414.346,Zamfara,11.95629224,6.056730414,230.913,147432.8472
Bakura,0.040151909,59,2366.145,Zamfara,12.52981379,5.836028831,203.482,156087.663
Birnin-Magaji-Kiyaw,0.000118,73,1112.499,Zamfara,12.4825398,6.893006424,144.461,195741.5361
Bukkuyum,-0.005577652,105,3128.65,Zamfara,11.93120186,5.700714154,247.598,237082.1594
Bungudu,0.03064773,87,1728.315,Zamfara,12.17479268,6.549680925,255.969,322814.8375
Gummi,0.005618319,111,3263.867,Zamfara,11.98370416,5.270665528,249.896,271521.3309
Gusau,0.103958573,93,3062.505,Zamfara,11.9126915,6.766807688,413.17,465871.2747
Kaura Namoda,0.040189567,67,677.842,Zamfara,12.53641215,6.593420659,141.58,261690.0572
Maradun,-0.006153864,34,2331.225,Zamfara,12.75167786,6.274630648,235.205,181721.3912
Maru,0.008840139,773,7795.261,Zamfara,11.48607841,6.342002919,536.5,380663.8793
Shinkafi,0.000263,22,920.291,Zamfara,13.01383395,6.472302265,144.767,130267.2089
Talata Mafara,0.02086543,75,1015.738,Zamfara,12.36682636,6.116023814,135.481,190256.4587
Tsafe,0.011178933,124,2060.054,Zamfara,11.93082803,6.926340563,191.971,264298.4493
Zurmi,-0.000399,756,2782.613,Zamfara,12.83184429,6.781314483,282.126,251731.8971
